spin,type,state,area,isDead
0,0,q,-1449,False
1,2,q,17,False
2,2,q,16,False
3,2,q,17,False
4,1,q,0,True
5,2,q,18,False
6,2,q,15,False
7,2,q,18,False
8,2,q,0,True
9,2,q,16,False
10,1,q,0,True
11,2,q,25,False
12,2,q,12,False
13,2,q,20,False
14,1,q,0,True
15,2,q,12,False
16,2,q,17,False
17,2,q,15,False
18,2,q,17,False
19,2,q,20,False
20,1,q,0,True
21,1,q,0,True
22,2,q,16,False
23,2,q,13,False
24,2,q,17,False
25,1,q,0,True
26,2,q,17,False
27,1,q,0,True
28,1,q,0,True
29,2,q,19,False
30,2,q,10,False
31,2,q,22,False
32,2,q,16,False
33,2,q,11,False
34,2,q,12,False
35,1,q,0,True
36,1,q,0,True
37,2,q,22,False
38,2,q,13,False
39,2,q,16,False
40,1,q,0,True
41,2,q,15,False
42,1,q,0,True
43,1,q,0,True
44,1,q,0,True
45,2,q,17,False
46,1,q,0,True
47,2,q,13,False
48,1,q,0,True
49,2,q,13,False
50,1,q,0,True
51,1,q,0,True
52,2,q,14,False
53,2,q,14,False
54,2,q,12,False
55,1,q,0,True
56,2,q,15,False
57,1,q,0,True
58,1,q,0,True
59,1,q,0,True
60,2,q,15,False
61,2,q,16,False
62,2,q,12,False
63,2,q,14,False
64,2,q,11,False
65,2,q,13,False
66,2,q,16,False
67,1,q,0,True
68,2,q,13,False
69,2,q,13,False
70,1,q,0,True
71,2,q,19,False
72,1,q,0,True
73,1,q,0,True
74,2,q,9,False
75,2,q,0,True
76,2,q,15,False
77,2,q,18,False
78,2,q,25,False
79,1,q,0,True
80,2,q,17,False
81,1,q,0,True
82,2,q,22,False
83,2,q,14,False
84,1,q,0,True
85,2,q,16,False
86,2,q,13,False
87,1,q,0,True
88,1,q,0,True
89,2,q,0,True
90,1,q,0,True
91,2,q,0,True
92,1,q,0,True
93,2,q,11,False
94,2,q,13,False
95,1,q,0,True
96,1,q,0,True
97,2,q,18,False
98,2,q,12,False
99,1,q,0,True
100,1,q,0,True
101,2,q,9,False
102,2,q,0,True
103,2,q,10,False
104,2,q,11,False
105,2,q,15,False
106,2,q,13,False
107,1,q,0,True
108,1,q,0,True
109,2,q,17,False
110,1,q,0,True
111,1,q,0,True
112,2,q,18,False
113,2,q,16,False
114,2,q,9,False
115,2,q,16,False
116,2,q,0,True
117,1,q,0,True
118,2,q,17,False
119,2,q,0,True
120,2,q,19,False
121,2,q,16,False
122,2,q,0,True
123,2,q,16,False
124,2,q,0,True
125,2,q,23,False
126,2,q,17,False
127,2,q,19,False
128,2,q,12,False
129,2,q,10,False
130,2,q,18,False
131,2,q,15,False
132,2,q,16,False
133,2,q,15,False
134,2,q,17,False
135,2,q,15,False
136,2,q,0,True
137,2,q,0,True
138,2,q,14,False
139,2,q,18,False
140,2,q,18,False
141,2,q,0,True
142,2,q,16,False
143,2,q,19,False
144,1,q,0,True
145,2,q,0,True
146,2,q,17,False
147,1,q,0,True
148,2,q,14,False
149,2,q,17,False
150,2,q,20,False
