spin,type,state,area,isDead
0,0,q,-1330,False
1,2,q,20,False
2,1,q,0,True
3,2,q,14,False
4,1,q,0,True
5,2,q,14,False
6,2,q,13,False
7,2,q,9,False
8,2,q,16,False
9,2,q,14,False
10,2,q,16,False
11,2,q,21,False
12,2,q,13,False
13,1,q,0,True
14,2,q,16,False
15,1,q,0,True
16,2,q,15,False
17,2,q,16,False
18,2,q,18,False
19,2,q,20,False
20,1,q,0,True
21,2,q,0,True
22,2,q,21,False
23,2,q,13,False
24,2,q,11,False
25,2,q,14,False
26,1,q,0,True
27,2,q,0,True
28,2,q,9,False
29,2,q,11,False
30,1,q,0,True
31,2,q,11,False
32,2,q,15,False
33,2,q,10,False
34,1,q,0,True
35,2,q,18,False
36,2,q,16,False
37,2,q,13,False
38,1,q,0,True
39,1,q,0,True
40,2,q,14,False
41,2,q,15,False
42,2,q,11,False
43,2,q,14,False
44,1,q,0,True
45,2,q,17,False
46,2,q,14,False
47,2,q,12,False
48,2,q,0,True
49,2,q,16,False
50,2,q,17,False
51,1,q,0,True
52,1,q,0,True
53,2,q,19,False
54,1,q,0,True
55,1,q,0,True
56,1,q,0,True
57,2,q,0,True
58,2,q,17,False
59,2,q,0,True
60,1,q,0,True
61,2,q,14,False
62,1,q,0,True
63,1,q,0,True
64,2,q,19,False
65,2,q,10,False
66,1,q,0,True
67,1,q,0,True
68,2,q,11,False
69,1,q,0,True
70,2,q,0,True
71,2,q,13,False
72,2,q,0,True
73,2,q,16,False
74,2,q,15,False
75,2,q,19,False
76,2,q,24,False
77,1,q,0,True
78,2,q,16,False
79,2,q,0,True
80,2,q,15,False
81,2,q,13,False
82,2,q,18,False
83,1,q,0,True
84,1,q,0,True
85,2,q,10,False
86,1,q,0,True
87,2,q,13,False
88,1,q,0,True
89,2,q,16,False
90,1,q,0,True
91,1,q,0,True
92,2,q,13,False
93,2,q,14,False
94,1,q,0,True
95,1,q,0,True
96,1,q,0,True
97,2,q,0,True
98,2,q,0,True
99,2,q,17,False
100,2,q,16,False
101,2,q,14,False
102,2,q,12,False
103,2,q,17,False
104,2,q,13,False
105,1,q,0,True
106,2,q,13,False
107,2,q,13,False
108,2,q,10,False
109,2,q,0,True
110,2,q,16,False
111,2,q,12,False
112,2,q,15,False
113,1,q,0,True
114,2,q,18,False
115,2,q,22,False
116,1,q,0,True
117,2,q,14,False
118,1,q,0,True
119,1,q,0,True
120,1,q,0,True
121,1,q,0,True
122,2,q,17,False
123,1,q,0,True
124,2,q,12,False
125,1,q,0,True
126,2,q,18,False
127,2,q,0,True
128,2,q,12,False
129,2,q,15,False
130,1,q,0,True
131,2,q,15,False
132,2,q,17,False
133,2,q,16,False
134,1,q,0,True
135,2,q,17,False
136,1,q,0,True
137,2,q,16,False
138,1,q,0,True
139,2,q,18,False
140,2,q,0,True
141,2,q,14,False
142,2,q,20,False
143,2,q,16,False
144,1,q,0,True
145,2,q,14,False
146,2,q,0,True
147,1,q,7,False
148,2,q,17,False
149,1,q,0,True
150,2,q,15,False
