spin,type,state,area,isDead
0,0,q,-1359,False
1,2,q,14,False
2,2,q,21,False
3,2,q,11,False
4,2,q,17,False
5,2,q,12,False
6,2,q,22,False
7,1,q,0,True
8,2,q,20,False
9,2,q,22,False
10,1,q,0,True
11,2,q,17,False
12,2,q,18,False
13,1,q,0,True
14,2,q,14,False
15,2,q,16,False
16,1,q,0,True
17,2,q,18,False
18,2,q,13,False
19,2,q,0,True
20,2,q,21,False
21,2,q,12,False
22,1,q,0,True
23,2,q,15,False
24,2,q,17,False
25,2,q,0,True
26,2,q,15,False
27,2,q,22,False
28,2,q,21,False
29,2,q,20,False
30,1,q,0,True
31,1,q,0,True
32,2,q,17,False
33,2,q,16,False
34,2,q,0,True
35,2,q,0,True
36,2,q,20,False
37,2,q,22,False
38,2,q,20,False
39,2,q,16,False
40,1,q,0,True
41,2,q,19,False
42,2,q,13,False
43,1,q,0,True
44,2,q,17,False
45,2,q,0,True
46,1,q,0,True
47,2,q,26,False
48,2,q,0,True
49,2,q,23,False
50,2,q,14,False
51,2,q,0,True
52,2,q,12,False
53,1,q,0,True
54,2,q,10,False
55,2,q,0,True
56,1,q,0,True
57,2,q,0,True
58,1,q,0,True
59,2,q,0,True
60,1,q,0,True
61,2,q,9,False
62,2,q,10,False
63,2,q,0,True
64,2,q,11,False
65,2,q,22,False
66,2,q,0,True
67,2,q,17,False
68,2,q,18,False
69,2,q,17,False
70,1,q,0,True
71,2,q,17,False
72,2,q,0,True
73,1,q,0,True
74,2,q,8,False
75,2,q,26,False
76,1,q,0,True
77,2,q,10,False
78,1,q,0,True
79,1,q,0,True
80,2,q,15,False
81,2,q,10,False
82,2,q,14,False
83,2,q,0,True
84,2,q,16,False
85,2,q,0,True
86,2,q,23,False
87,1,q,0,True
88,2,q,10,False
89,2,q,9,False
90,1,q,0,True
91,1,q,0,True
92,2,q,15,False
93,2,q,0,True
94,2,q,0,True
95,2,q,21,False
96,2,q,18,False
97,2,q,15,False
98,2,q,15,False
99,2,q,14,False
100,1,q,0,True
101,1,q,0,True
102,2,q,13,False
103,2,q,15,False
104,1,q,0,True
105,1,q,0,True
106,2,q,15,False
107,2,q,7,False
108,2,q,22,False
109,1,q,0,True
110,1,q,0,True
111,1,q,0,True
112,1,q,0,True
113,2,q,0,True
114,2,q,0,True
115,2,q,13,False
116,1,q,0,True
117,2,q,11,False
118,2,q,16,False
119,2,q,0,True
120,2,q,18,False
121,2,q,23,False
122,2,q,0,True
123,2,q,16,False
124,2,q,16,False
125,1,q,0,True
126,1,q,0,True
127,2,q,0,True
128,2,q,20,False
129,2,q,13,False
130,2,q,0,True
131,2,q,0,True
132,1,q,0,True
133,2,q,20,False
134,2,q,15,False
135,1,q,0,True
136,2,q,19,False
137,2,q,0,True
138,1,q,0,True
139,2,q,18,False
140,2,q,16,False
141,2,q,20,False
142,2,q,20,False
143,2,q,0,True
144,2,q,0,True
145,2,q,0,True
146,1,q,0,True
147,1,q,0,True
148,1,q,0,True
149,2,q,14,False
150,2,q,16,False
