spin,type,state,area,isDead
0,0,q,-2880,False
1,2,q,20,False
2,2,q,22,False
3,2,q,17,False
4,2,q,19,False
5,2,q,22,False
6,2,q,21,False
7,2,q,17,False
8,2,q,24,False
9,2,q,14,False
10,2,q,22,False
11,2,q,16,False
12,1,q,14,False
13,2,q,17,False
14,2,q,24,False
15,2,q,21,False
16,2,q,14,False
17,2,q,24,False
18,2,q,19,False
19,2,q,21,False
20,2,q,22,False
21,2,q,23,False
22,2,q,24,False
23,2,q,23,False
24,2,q,19,False
25,2,q,27,False
26,2,q,26,False
27,2,q,27,False
28,2,q,24,False
29,2,q,24,False
30,2,q,22,False
31,2,q,21,False
32,2,q,24,False
33,2,q,27,False
34,2,q,22,False
35,2,q,21,False
36,2,q,23,False
37,2,q,26,False
38,2,q,35,False
39,2,q,26,False
40,2,q,25,False
41,2,q,20,False
42,2,q,34,False
43,2,q,32,False
44,2,q,26,False
45,2,q,33,False
46,2,q,31,False
47,2,q,22,False
48,2,q,25,False
49,2,q,22,False
50,2,q,22,False
51,2,q,26,False
52,2,q,28,False
53,2,q,22,False
54,2,q,28,False
55,2,q,31,False
56,2,q,22,False
57,2,q,29,False
58,2,q,22,False
59,2,q,30,False
60,2,q,26,False
61,2,q,25,False
62,2,q,23,False
63,2,q,25,False
64,2,q,30,False
65,2,q,18,False
66,2,q,30,False
67,2,q,22,False
68,2,q,10,False
69,2,q,20,False
70,2,q,24,False
71,2,q,16,False
72,1,q,0,True
73,2,q,29,False
74,1,q,2,False
75,2,q,21,False
76,2,q,19,False
77,2,q,18,False
78,2,q,26,False
79,1,q,0,True
80,2,q,7,False
81,2,q,28,False
82,2,q,21,False
83,2,q,13,False
84,2,q,14,False
85,2,q,30,False
86,2,q,19,False
87,2,q,9,False
88,2,q,21,False
89,2,q,12,False
90,2,q,12,False
91,2,q,23,False
92,2,q,19,False
93,2,q,14,False
94,2,q,11,False
95,2,q,17,False
96,2,q,17,False
97,2,q,9,False
98,2,q,9,False
99,2,q,5,False
100,2,q,11,False
101,1,q,0,True
102,2,q,5,False
103,2,q,20,False
104,1,q,0,True
105,2,q,7,False
106,2,q,6,False
107,2,q,0,True
108,2,q,3,False
109,2,q,25,False
110,2,q,16,False
111,2,q,24,False
112,2,q,15,False
113,2,q,19,False
114,2,q,21,False
115,2,q,14,False
116,2,q,15,False
117,2,q,18,False
118,2,q,18,False
119,1,q,14,False
120,2,q,17,False
121,2,q,23,False
122,2,q,18,False
123,2,q,17,False
124,2,q,11,False
125,2,q,19,False
126,2,q,17,False
127,2,q,17,False
128,2,q,20,False
129,2,q,17,False
130,2,q,13,False
131,2,q,16,False
132,2,q,23,False
133,2,q,23,False
134,2,q,15,False
135,2,q,14,False
136,2,q,14,False
137,2,q,22,False
138,2,q,14,False
139,2,q,21,False
140,2,q,15,False
141,2,q,14,False
142,2,q,18,False
143,2,q,15,False
144,1,q,19,False
145,2,q,23,False
146,2,q,23,False
147,2,q,16,False
148,2,q,21,False
149,2,q,14,False
150,2,q,22,False
