spin,type,state,area,isDead
0,0,q,-2828,False
1,2,q,20,False
2,2,q,19,False
3,2,q,18,False
4,2,q,15,False
5,2,q,22,False
6,2,q,20,False
7,2,q,20,False
8,2,q,19,False
9,2,q,17,False
10,2,q,19,False
11,2,q,21,False
12,2,q,24,False
13,2,q,21,False
14,2,q,22,False
15,2,q,17,False
16,2,q,21,False
17,2,q,15,False
18,2,q,17,False
19,2,q,22,False
20,2,q,17,False
21,2,q,17,False
22,2,q,18,False
23,2,q,17,False
24,2,q,18,False
25,2,q,19,False
26,2,q,17,False
27,2,q,22,False
28,2,q,19,False
29,2,q,17,False
30,2,q,18,False
31,2,q,15,False
32,2,q,16,False
33,2,q,21,False
34,2,q,21,False
35,2,q,19,False
36,2,q,18,False
37,2,q,16,False
38,2,q,16,False
39,2,q,20,False
40,2,q,15,False
41,2,q,22,False
42,2,q,19,False
43,2,q,19,False
44,2,q,21,False
45,2,q,22,False
46,2,q,16,False
47,2,q,16,False
48,2,q,19,False
49,2,q,22,False
50,2,q,20,False
51,2,q,20,False
52,2,q,20,False
53,2,q,17,False
54,2,q,21,False
55,2,q,19,False
56,2,q,17,False
57,2,q,18,False
58,2,q,21,False
59,2,q,21,False
60,2,q,21,False
61,2,q,19,False
62,2,q,19,False
63,2,q,19,False
64,2,q,20,False
65,2,q,20,False
66,2,q,27,False
67,2,q,20,False
68,2,q,22,False
69,2,q,18,False
70,2,q,18,False
71,2,q,23,False
72,2,q,17,False
73,2,q,17,False
74,2,q,20,False
75,2,q,14,False
76,2,q,17,False
77,2,q,18,False
78,2,q,20,False
79,2,q,16,False
80,2,q,20,False
81,2,q,19,False
82,2,q,17,False
83,1,q,9,False
84,2,q,22,False
85,2,q,20,False
86,2,q,17,False
87,2,q,17,False
88,2,q,19,False
89,2,q,17,False
90,2,q,20,False
91,2,q,17,False
92,2,q,17,False
93,2,q,21,False
94,2,q,18,False
95,2,q,20,False
96,2,q,22,False
97,2,q,23,False
98,2,q,19,False
99,2,q,15,False
100,2,q,19,False
101,2,q,21,False
102,2,q,14,False
103,2,q,19,False
104,2,q,20,False
105,2,q,18,False
106,2,q,19,False
107,2,q,19,False
108,2,q,20,False
109,2,q,20,False
110,2,q,19,False
111,2,q,17,False
112,2,q,20,False
113,2,q,21,False
114,2,q,17,False
115,2,q,20,False
116,2,q,20,False
117,2,q,21,False
118,2,q,16,False
119,2,q,17,False
120,2,q,21,False
121,2,q,18,False
122,2,q,18,False
123,2,q,22,False
124,2,q,23,False
125,2,q,12,False
126,2,q,11,False
127,1,q,6,False
128,2,q,21,False
129,2,q,19,False
130,2,q,21,False
131,2,q,20,False
132,2,q,18,False
133,2,q,20,False
134,2,q,18,False
135,2,q,15,False
136,2,q,16,False
137,2,q,17,False
138,2,q,19,False
139,2,q,24,False
140,2,q,22,False
141,2,q,17,False
142,2,q,24,False
143,2,q,24,False
144,2,q,20,False
145,2,q,24,False
146,2,q,20,False
147,2,q,14,False
148,2,q,22,False
149,2,q,15,False
150,2,q,21,False
