spin,type,state,area,isDead
0,0,q,-1627,False
1,2,q,14,False
2,2,q,15,False
3,2,q,18,False
4,1,q,0,True
5,2,q,12,False
6,2,q,15,False
7,2,q,15,False
8,2,q,13,False
9,2,q,18,False
10,2,q,16,False
11,2,q,16,False
12,2,q,11,False
13,2,q,21,False
14,2,q,10,False
15,2,q,11,False
16,2,q,16,False
17,2,q,0,True
18,2,q,12,False
19,1,q,0,True
20,1,q,0,True
21,2,q,0,True
22,2,q,19,False
23,1,q,0,True
24,2,q,0,True
25,1,q,0,True
26,2,q,14,False
27,2,q,18,False
28,1,q,0,True
29,2,q,18,False
30,2,q,0,True
31,2,q,14,False
32,2,q,13,False
33,1,q,0,True
34,2,q,16,False
35,2,q,14,False
36,1,q,0,True
37,1,q,0,True
38,2,q,17,False
39,1,q,0,True
40,2,q,19,False
41,2,q,17,False
42,2,q,13,False
43,1,q,0,True
44,2,q,16,False
45,2,q,19,False
46,2,q,19,False
47,2,q,17,False
48,2,q,13,False
49,2,q,21,False
50,1,q,0,True
51,2,q,12,False
52,2,q,12,False
53,1,q,0,True
54,2,q,18,False
55,1,q,0,True
56,2,q,23,False
57,1,q,0,True
58,2,q,16,False
59,2,q,14,False
60,2,q,16,False
61,1,q,0,True
62,2,q,18,False
63,2,q,0,True
64,1,q,0,True
65,2,q,16,False
66,1,q,0,True
67,2,q,17,False
68,2,q,15,False
69,2,q,0,True
70,2,q,14,False
71,2,q,18,False
72,1,q,0,True
73,2,q,13,False
74,2,q,14,False
75,2,q,15,False
76,1,q,0,True
77,1,q,0,True
78,2,q,15,False
79,2,q,17,False
80,1,q,0,True
81,2,q,14,False
82,2,q,18,False
83,2,q,15,False
84,2,q,14,False
85,2,q,16,False
86,1,q,0,True
87,2,q,19,False
88,2,q,17,False
89,2,q,0,True
90,2,q,17,False
91,2,q,12,False
92,2,q,13,False
93,1,q,0,True
94,1,q,0,True
95,2,q,8,False
96,2,q,14,False
97,2,q,13,False
98,2,q,18,False
99,2,q,14,False
100,2,q,17,False
101,2,q,18,False
102,2,q,12,False
103,2,q,15,False
104,2,q,17,False
105,2,q,12,False
106,2,q,19,False
107,2,q,23,False
108,1,q,0,True
109,2,q,16,False
110,2,q,17,False
111,1,q,0,True
112,1,q,0,True
113,2,q,12,False
114,2,q,14,False
115,2,q,17,False
116,1,q,0,True
117,2,q,17,False
118,2,q,16,False
119,2,q,17,False
120,2,q,14,False
121,2,q,19,False
122,2,q,16,False
123,2,q,12,False
124,1,q,0,True
125,2,q,15,False
126,2,q,0,True
127,2,q,11,False
128,2,q,0,True
129,2,q,17,False
130,2,q,11,False
131,1,q,0,True
132,2,q,17,False
133,2,q,20,False
134,2,q,11,False
135,2,q,16,False
136,2,q,18,False
137,2,q,19,False
138,2,q,12,False
139,2,q,17,False
140,2,q,19,False
141,1,q,0,True
142,2,q,17,False
143,1,q,0,True
144,2,q,13,False
145,2,q,13,False
146,2,q,0,True
147,1,q,0,True
148,2,q,12,False
149,2,q,0,True
150,2,q,14,False
