spin,type,state,area,isDead
0,0,q,-1353,False
1,2,q,15,False
2,2,q,22,False
3,1,q,0,True
4,2,q,23,False
5,2,q,18,False
6,2,q,0,True
7,2,q,22,False
8,2,q,14,False
9,2,q,34,False
10,2,q,38,False
11,2,q,22,False
12,1,q,0,True
13,2,q,0,True
14,2,q,13,False
15,2,q,15,False
16,1,q,0,True
17,2,q,6,False
18,2,q,16,False
19,2,q,14,False
20,2,q,6,False
21,2,q,14,False
22,2,q,0,True
23,1,q,0,True
24,1,q,0,True
25,1,q,0,True
26,1,q,0,True
27,1,q,0,True
28,2,q,26,False
29,2,q,12,False
30,2,q,24,False
31,1,q,0,True
32,2,q,11,False
33,1,q,0,True
34,2,q,17,False
35,1,q,0,True
36,2,q,11,False
37,2,q,18,False
38,1,q,0,True
39,1,q,0,True
40,2,q,13,False
41,2,q,14,False
42,2,q,14,False
43,2,q,16,False
44,2,q,18,False
45,1,q,0,True
46,2,q,16,False
47,1,q,0,True
48,2,q,22,False
49,1,q,0,True
50,2,q,16,False
51,1,q,0,True
52,2,q,15,False
53,2,q,0,True
54,2,q,7,False
55,2,q,16,False
56,2,q,0,True
57,2,q,14,False
58,1,q,0,True
59,2,q,0,True
60,1,q,0,True
61,2,q,0,True
62,2,q,18,False
63,2,q,15,False
64,2,q,0,True
65,2,q,24,False
66,1,q,0,True
67,2,q,13,False
68,2,q,13,False
69,2,q,0,True
70,2,q,0,True
71,2,q,9,False
72,2,q,15,False
73,1,q,0,True
74,2,q,16,False
75,2,q,17,False
76,2,q,0,True
77,2,q,12,False
78,2,q,0,True
79,2,q,0,True
80,1,q,0,True
81,1,q,0,True
82,1,q,0,True
83,2,q,13,False
84,2,q,18,False
85,2,q,19,False
86,2,q,17,False
87,1,q,0,True
88,2,q,12,False
89,2,q,19,False
90,2,q,23,False
91,2,q,9,False
92,2,q,0,True
93,2,q,11,False
94,1,q,0,True
95,1,q,0,True
96,2,q,23,False
97,2,q,21,False
98,2,q,12,False
99,2,q,17,False
100,2,q,20,False
101,2,q,23,False
102,2,q,14,False
103,1,q,0,True
104,1,q,0,True
105,1,q,0,True
106,1,q,0,True
107,2,q,17,False
108,2,q,13,False
109,2,q,0,True
110,2,q,0,True
111,2,q,18,False
112,2,q,0,True
113,1,q,0,True
114,1,q,0,True
115,2,q,0,True
116,2,q,6,False
117,2,q,17,False
118,1,q,0,True
119,2,q,0,True
120,1,q,0,True
121,1,q,0,True
122,2,q,21,False
123,1,q,0,True
124,2,q,23,False
125,2,q,18,False
126,2,q,0,True
127,2,q,14,False
128,2,q,22,False
129,2,q,0,True
130,2,q,10,False
131,1,q,0,True
132,2,q,5,False
133,2,q,13,False
134,2,q,10,False
135,1,q,0,True
136,1,q,0,True
137,1,q,0,True
138,2,q,15,False
139,2,q,18,False
140,2,q,18,False
141,1,q,0,True
142,2,q,12,False
143,2,q,23,False
144,1,q,0,True
145,2,q,12,False
146,1,q,0,True
147,2,q,15,False
148,1,q,0,True
149,2,q,18,False
150,1,q,0,True
